,AAPL,TSLA,GOOGL,MSFT,WDC
2011-07-08,51.387142,28.809998999999998,266.261261,26.92,38.52
2011-07-11,50.57143,28.35,263.9039,26.629998999999998,37.209998999999996
2011-07-12,50.535713,28.17,267.272278,26.540001,37.02
2011-07-13,51.145714,28.639999,269.39941400000004,26.629998999999998,37.279999
2011-07-14,51.110001000000004,27.610001,264.73474100000004,26.469998999999998,37.060001
2011-07-15,52.131428,27.58,299.1091,26.780001000000002,37.27
2011-07-18,53.400002,27.23,297.767761,26.59,36.740002000000004
2011-07-19,53.835712,27.889999,301.576569,27.540001,37.73
2011-07-20,55.271427,28.690001000000002,297.972961,27.059998999999998,38.080002
2011-07-21,55.327144999999994,28.700001,303.798798,27.1,35.130001
2011-07-22,56.185715,29.290001,309.424438,27.530001000000002,38.040001000000004
2011-07-25,56.92856999999999,28.49,309.799805,27.91,36.900002
2011-07-26,57.630001,28.0,311.571564,28.08,36.450001
2011-07-27,56.084286,27.639999,303.91391,27.33,35.509997999999996
2011-07-28,55.974284999999995,28.17,305.77578700000004,27.719998999999998,35.34
2011-07-29,55.782856,28.17,302.147156,27.4,34.459998999999996
2011-08-01,56.67856999999999,28.77,303.68869,27.27,34.549999
2011-08-02,55.55857099999999,27.34,296.49649,26.799999,32.779999
2011-08-03,56.08142900000001,27.200001,300.885895,26.92,33.150002
2011-08-04,53.91,24.75,289.049042,25.940001000000002,31.0
2011-08-05,53.374287,24.24,289.809814,25.68,30.540001
2011-08-08,50.458572,23.639999,273.283295,24.48,29.110001
2011-08-09,53.43,25.059998999999998,286.992004,25.58,30.32
2011-08-10,51.955715000000005,23.82,274.779785,24.200001,29.110001
2011-08-11,53.385715000000005,25.299999,281.346344,25.190001000000002,30.459999
2011-08-12,53.855713,26.309998999999998,282.167175,25.1,30.700001
2011-08-15,54.77285799999999,26.23,278.89389,25.51,31.469998999999998
2011-08-16,54.354286,26.1,269.769775,25.35,31.059998999999998
2011-08-17,54.348572,25.83,266.841827,25.25,30.0
2011-08-18,52.292858,24.26,252.69268799999998,24.67,27.83
2011-08-19,50.861427,22.299999,245.705704,24.049999,26.41
2011-08-22,50.919998,21.950001,249.334335,23.98,26.51
2011-08-23,53.371429000000006,22.959999,259.669678,24.719998999999998,27.57
2011-08-24,53.740002000000004,23.870001000000002,261.906921,24.9,27.91
2011-08-25,53.388573,23.110001,260.280273,24.57,27.610001
2011-08-26,54.797142,23.73,263.693695,25.25,28.290001
2011-08-29,55.709998999999996,24.709999,269.809814,25.84,29.110001
2011-08-30,55.712856,24.629998999999998,270.62060499999995,26.23,29.629998999999998
2011-08-31,54.975716000000006,24.74,270.750763,26.6,29.49
2011-09-01,54.432857999999996,24.0,266.51651,26.209999,28.700001
2011-09-02,53.435715,23.07,262.68267799999995,25.799999,27.440001000000002
2011-09-06,54.248573,22.940001000000002,261.351349,25.51,27.440001000000002
2011-09-07,54.847141,23.84,267.282288,26.0,28.49
2011-09-08,54.877143999999994,23.610001,267.747742,26.219998999999998,28.309998999999998
2011-09-09,53.925713,22.969998999999998,262.687683,25.74,28.459999
2011-09-12,54.277142000000005,22.879998999999998,265.325317,25.889999,28.860001
2011-09-13,54.945713,24.08,265.02502400000003,26.040001,29.129998999999998
2011-09-14,55.614284999999995,24.34,266.3013,26.5,29.6
2011-09-15,56.137142000000004,24.82,271.551544,26.99,30.059998999999998
2011-09-16,57.214287,25.799999,273.613617,27.120001000000002,30.07
2011-09-19,58.804287,25.77,273.608612,27.209999,29.27
2011-09-20,59.064285,26.01,273.588593,26.98,28.32
2011-09-21,58.877143999999994,25.85,269.869873,25.99,27.65
2011-09-22,57.402859,25.629998999999998,260.590576,25.059998999999998,25.959999
