,polarity,subjectivity,pos,neg,neu
7/11/14,0.008571429,0.153333333,0.104238095,0.071666667,0.824095238
7/25/14,-0.005392157,0.199509804,0.074294118,0.056941176,0.868764706
8/8/14,0.14965035,0.270629371,0.102230769,0.100230769,0.797538462
8/22/14,0.099521531,0.138755981,0.054684211,0.043894737,0.848789474
9/5/14,0.045238684,0.20278676,0.126204082,0.053,0.820795918
9/19/14,0.09228355,0.337929293,0.115828571,0.080714286,0.803371429
10/3/14,0.150994318,0.320154672,0.212041667,0.064875,0.723125
10/17/14,0.059957265,0.172040598,0.130025641,0.028384615,0.841589744
10/31/14,0.120909091,0.365363636,0.11532,0.0238,0.86088
11/14/14,0.109558824,0.188235294,0.08,0.015352941,0.845823529
11/28/14,0.035466507,0.146072568,0.019368421,0.076947368,0.903684211
12/12/14,0.133522727,0.211742424,0.166833333,0.0342,0.798966667
12/26/14,0.061363636,0.106818182,0.099636364,0.061814285,0.900363636
1/9/15,0.013636364,0.131168831,0.139714286,0.089428571,0.73525
1/23/15,0.052222222,0.21453125,0.12446875,0.0734375,0.80209375
2/6/15,0.020624211,0.16489899,0.10296875,0.04040625,0.85659375
2/20/15,0.007496742,0.107728087,0.030129032,0.065451613,0.904419355
3/6/15,0.089799154,0.174718111,0.028697674,0.082581395,0.88872093
3/20/15,-0.049230769,0.149230769,0.084230769,0.012846154,0.902923077
4/3/15,0.10993266,0.302861953,0.144666667,0.098666667,0.756777778
4/17/15,0.031176471,0.190392157,0.119294118,0.089411765,0.791235294
5/1/15,0.032792208,0.229545455,0.045714286,0.083642857,0.870642857
5/15/15,0.0775,0.1975,0.101625,0.06675,0.831625
5/29/15,0.052380952,0.273809524,0.031714286,0.022190476,0.946095238
6/12/15,-0.11875,0.2,0.0678125,0.096875,0.8353125
6/26/15,0.029951299,0.244561688,0.083428571,0.026714286,0.889857143
7/10/15,0.076080247,0.185493827,0.047722222,0.122277778,0.83
7/24/15,0.058823529,0.148529412,0.084588235,0.103647059,0.811705882
8/7/15,0.001121212,0.081333333,0.00676,0.06792,0.88532
8/21/15,0.015300325,0.203530844,0.08175,0.103642857,0.814535714
9/4/15,-0.037587413,0.127272727,0.072346154,0.0585,0.830615385
9/18/15,0.072348485,0.300252525,0.064151515,0.090181818,0.845636364
10/2/15,-0.017575758,0.163636364,0.079866667,0.258133333,0.595466667
10/16/15,-0.059334082,0.221904227,0.030592593,0.037222222,0.932185185
10/30/15,-0.01780303,0.112878788,0.124333333,0.080333333,0.462166667
11/13/15,0.012396694,0.041322314,0.116454545,0.037545455,0.755090909
11/27/15,0.0875,0.2625,0.129007273,0.041052728,1
12/11/15,0.0425,0.064,0.14156,0.04456,0.77392
12/25/15,-0.069230769,0.156570513,0.039,0.219692308,0.741307692
1/8/16,0.001736111,0.097222222,0.039583333,0.031333333,0.84575
1/22/16,0.044476744,0.273062016,0.090674419,0.091930233,0.817395349
2/5/16,-0.067592593,0.131481481,0.090166667,0.230666667,0.679166667
2/19/16,0.000950999,0.248855577,0.045276596,0.111,0.843723404
3/4/16,0.00031308,0.305848021,0.097857143,0.077,0.825142857
3/18/16,0.086525974,0.258658009,0.084771429,0.082828571,0.8324
4/1/16,-0.003472222,0.418055556,0.072201504,0.137875,0.737125
4/15/16,0.043779904,0.216985646,0.059631579,0.057473684,0.882894737
4/29/16,-0.1,0.197916667,0.0455,0.16625,0.78825
5/13/16,-0.008949448,0.140928966,0.118111111,0.059277778,0.822638889
5/27/16,0.006818182,0.225757576,0.054909091,0.081272727,0.863818182
6/10/16,0.006526807,0.091841492,0.056692308,0.065461538,0.877846154
6/24/16,0.0113921,0.03125,0.065846154,0.108355769,1
7/8/16,0.016257392,0.122829861,0.075,0.15125,0.52375
7/22/16,0.021122685,0.214409722,0.106416667,0.070583333,0.822958333
8/5/16,0.010087858,0.164827967,0.092270834,0.088041667,0.788385416
8/19/16,-0.00094697,0.115246212,0.078125,0.1055,0.7538125
9/2/16,0.113915404,0.238546717,0.10335,0.04375,0.85295
9/16/16,0.114285714,0.285714286,0.091,0.057785714,0.851214286
9/30/16,-0.016450216,0.334848485,0.184071429,0.107714286,0.708214286
10/14/16,-0.25,0.5,0.2402,0.2146,0.5454
10/28/16,-0.115277778,0.033333333,0.0365,0.0535,0.909833333
11/11/16,0.019444444,0.044444444,0.061055556,0.097111111,0.786277778
11/25/16,0.021666667,0.078333333,0.039833333,0.137666667,0.8225
12/9/16,0.2,0.2,0.069534722,0.1115,0.8885
12/23/16,0.109570313,0.139778646,0.099236111,0.07221875,0.8633125
1/6/17,0.019140625,0.079557292,0.1289375,0.0329375,0.838125
1/20/17,-0.03,0.02,0.04815,0.0721,0.87975
2/3/17,-0.005681818,0.210227273,0.117,0.014222222,0.868777778
2/17/17,0.171818182,0.192727273,0.1138,0.07,0.8162
3/3/17,0.041666667,0.158333333,0.065333333,0.0656,0.934666667
3/17/17,0.040584416,0.126948052,0.021857143,0.0612,0.978142857
3/31/17,-0.019259259,0.205925926,0.137733333,0.0568,0.805466667
4/14/17,0.020454545,0.182727273,0.02595,0.0773,0.8968
4/28/17,0.020144628,0.182300275,0.113659091,0.113181818,0.773204545
5/12/17,0.005450337,0.201462542,0.078291667,0.073208333,0.848541667
5/26/17,0.090909091,0.303030303,0.03,0.046666667,0.923
6/9/17,0.037736742,0.144712753,0.119916667,0.078541667,0.801666667
6/23/17,0.01,0.03375,0.0641875,0.0803125,0.8555
7/7/17,0.035678524,0.17752141,0.102608696,0.071173913,0.782695652
7/21/17,0.027410468,0.066115702,0.053090909,0.072909091,0.874
8/4/17,-0.032090909,0.146030303,0.005,0.07256,0.92244
8/18/17,-0.025,0.025,0.23975,0.048818462,0.51025
9/1/17,0.012237762,0.18951049,0.062384615,0.025076923,0.912538462
9/15/17,0.006478851,0.203511679,0.093875,0.0465625,0.8595625
9/29/17,0.001913876,0.123923445,0.087052632,0.045,0.762789474
10/13/17,0.021818182,0.119343434,0.093363636,0.167227273,0.7395
10/27/17,0.080183502,0.151525253,0.116511111,0.088044444,0.7954
11/10/17,-0.0171875,0.076770833,0.1194,0.09185,0.7888
11/24/17,0.158922559,0.314309764,0.0445,0.213444444,0.6865
