,polarity,subjectivity,pos,neg,neu
1/8/16,0.125,0.15,0.13425,0.086333333,0.86575
1/22/16,0.097685185,0.221296297,0.194625,0.090222222,0.758319445
2/5/16,0.07037037,0.292592593,0.255,0.094111111,0.650888889
2/19/16,0.058191288,0.256818182,0.201333333,0.130555555,1
3/4/16,0.046012205,0.221043771,0.147666667,0.167,0.833
3/18/16,0.033833123,0.18526936,0.094,0.099791666,0.880041666
4/1/16,0.02165404,0.149494949,0.040333333,0.032583333,0.927083333
4/15/16,0.068181818,0.227272727,0.073666667,0.039291667,1
4/29/16,0.051136363,0.170454546,0.107,0.046,0.847
5/13/16,0.034090909,0.113636364,0.1165,0.086944444,1
5/27/16,0.091042291,0.5,0.126,0.127888889,0.874
6/10/16,0.147993673,0.396199634,0.098230769,0.168833333,0.831166667
6/24/16,0.204945055,0.292399267,0.070461538,0.027230769,0.902307692
7/8/16,0.008333333,0.229340278,0.095791667,0.1695,0.734833333
7/22/16,0.106666667,0.248888889,0.0996,0.056333333,0.844066667
8/5/16,0.097685951,0.228852158,0.131345455,0.103,0.897
8/19/16,0.088705234,0.208815427,0.163090909,0.018909091,0.818
9/2/16,-0.12,0.16,0.1344,0.141904546,0.8656
9/16/16,0.05,0.1,0.0131,0.2649,0.722
9/30/16,0.136363636,0.454545455,0.026427778,0.199238889,1
10/14/16,0.05,0.078571429,0.039755555,0.133577778,1
10/28/16,0.033333333,0.041666667,0.053083333,0.067916667,0.879
11/11/16,0.192307692,0.201923077,0.138384615,0.072055556,0.784692308
11/25/16,0.137820513,0.156517094,0.105192308,0.076194444,1
12/9/16,0.083333333,0.111111111,0.072,0.080333333,0.847666667
12/23/16,0.07070707,0.124579125,0.117333334,0.161222222,1
1/6/17,0.058080808,0.138047138,0.162666667,0.242111111,0.837333333
1/20/17,0.045454545,0.151515152,0.018166667,0.323,0.658833333
2/3/17,0.038005051,0.161521465,0.026333333,0.193,0.973666667
2/17/17,0.030555556,0.171527778,0.097222222,0.063,0.937
3/3/17,0.073425926,0.196944445,0.168111111,0.0745,0.857142857
3/17/17,0.116296297,0.222361111,0.239,0.086,0.761
3/31/17,0.159166667,0.247777778,0.08125,0.0975,0.821416667
4/14/17,0.022222222,0.155555556,0.066291667,0.077266667,0.922733333
4/28/17,0.044588745,0.169264069,0.051333333,0.081904762,0.866761905
5/12/17,-0.05,0.1375,0.067,0.073,0.86
5/26/17,0.107142857,0.285714286,0.190166667,0.0215,0.788333333
6/9/17,0.045758929,1,0.296,0.044022222,0.704
6/23/17,-0.015625,0.090625,0.14575,0.066544445,0.85425
7/7/17,0.063333333,0.322777778,0.0746,0.089066667,0.836133333
7/21/17,0.5,0.5,0.167,0.060961905,0.833
8/4/17,0.003571429,0.039285714,0.111071429,0.032857143,0.856071429
8/18/17,0.2,0.2,0.0958,0.085595238,0.9042
9/1/17,-0.077272727,0.142424242,0.091025,0.138333333,0.695
9/15/17,0.075833333,0.149166667,0.08625,0.0925,0.821083333
9/29/17,0.15,0.16,0.1386,0.0817,0.7796
10/13/17,-0.048966942,0.168595041,0.017727273,0.095363636,0.886909091
10/27/17,0.0921875,0.1015625,0.070875,0.134625,0.7945
11/10/17,-0.009090909,0.184848485,0.070875,0.252636364,0.747363636
11/24/17,0.060606061,0.166666667,0.070875,0.098636364,0.901363636
