,polarity,subjectivity,pos,neg,neu
12/25/15,0.115,0.1075,0.07045,0.10725,0.8223
1/8/16,0.116428572,0.5,0.117833333,0.067125,0.548833333
1/22/16,0.117857143,0.257142857,0.142428571,0.027,0.830571429
2/5/16,-0.078571429,0.385714286,0.162142857,0.062571429,0.632428571
2/19/16,0.32,0.5,0.1974,0.052885715,0.8026
3/4/16,-0.053333333,0.212222222,0.0372,0.0432,0.9196
3/18/16,0.314285714,0.430952381,0.225,0.124,0.651
4/1/16,0.125757576,0.525,0.27875,0.1285,0.72125
4/15/16,0.077272728,0.338257576,0.211547619,0.133,0.867
4/29/16,0.028787879,0.151515152,0.144345238,0.1545,0.678833333
5/13/16,-0.032142857,0.167857143,0.077142857,0.102,0.820714286
5/27/16,-0.006047078,0.128950217,0.135,0.055035715,0.865
6/10/16,0.020048701,0.09004329,0.136928571,0.008071429,0.640714286
6/24/16,0.015487013,0.115483405,0.131089285,0.091785715,0.669982143
7/8/16,0.010925324,0.140923521,0.12525,0.1755,0.69925
7/22/16,0.006363636,0.166363636,0.058818182,0.016545455,0.833727273
8/5/16,0.067272727,0.187272727,0.214409091,0.025911364,0.731863637
8/19/16,0.128181818,0.208181818,0.37,0.035277273,0.63
9/2/16,0.189090909,0.229090909,0.302052174,0.044643182,1
9/16/16,0.25,0.25,0.234104348,0.054009091,1
9/30/16,-0.028409091,0.163636364,0.166156522,0.063375,0.936625
10/14/16,0.008325099,0.113438736,0.098208696,0.085578805,1
10/28/16,0.045059289,0.063241107,0.03026087,0.107782609,0.861956522
11/11/16,0.04,0.235,0.09335,0.12515,0.7815
11/25/16,-0.057954545,0.1875,0.17475,0.05725,0.768
12/9/16,-0.33047138,0.6996633,0.142291667,0.085333333,0.914666667
12/23/16,-0.147337963,0.418865741,0.109833333,0.09075,0.918645834
1/6/17,0.035795455,0.138068182,0.077375,0.096166667,0.922625
1/20/17,-0.013516414,0.21863005,0.083778409,0.101583333,1
2/3/17,-0.062828283,0.299191919,0.090181818,0.107,0.802818182
2/17/17,-0.048,0.188,0.085090909,0.2678,0.7322
3/3/17,0.123809524,0.20952381,0.08,0.108285714,0.668857143
3/17/17,-0.086111111,0.177777778,0.079277778,0.048055556,0.817166667
3/31/17,-0.110227273,0.309659091,0.0785,0.0325,0.889
4/14/17,-0.114285714,0.142857143,0.044857143,0.195142857,0.76
4/28/17,-0.064425505,0.273832071,0.057666667,0.03525,0.907083333
5/12/17,0.042667749,0.10254329,0.068035714,0.082321429,0.849714286
5/26/17,-0.125,0.34375,0.065979396,0.1725,0.8275
6/9/17,0.005244755,0.062354312,0.063923077,0.10972619,0.705307692
6/23/17,0.096428571,0.15,0.178428571,0.046952381,0.727047619
7/7/17,0.114285714,0.226190476,0.080071429,0.066928571,0.781571429
7/21/17,0.04,0.172820513,0.074846154,0.117769231,0.807384615
8/4/17,0.051790634,0.159504132,0.081636364,0.032090909,0.795363636
8/18/17,0.051405521,0.159854107,0.057318182,0.053,0.947
9/1/17,0.051020408,0.160204082,0.033,0.056471429,0.967
9/15/17,0.07892562,0.152479339,0.070818182,0.059942857,0.838272727
9/29/17,0.086111111,0.297222222,0.081373377,0.063414286,0.5
10/13/17,0.029193723,0.143046537,0.091928571,0.066885714,0.908071429
10/27/17,-0.003571429,0.025,0.102,0.070357143,0.827642857
11/10/17,0.056410256,0.079487179,0.058615385,0.049538462,0.891846154
11/24/17,-0.016666667,0.326388889,0.148666667,0.093,0.758333333
