,polarity,subjectivity,max_polarity
2012-01-01,0.0575,0.3875,0.1875
2012-01-08,0.07525252525252524,0.1684343434343434,0.4333333333333333
2012-01-15,-0.1138888888888889,0.2222222222222222,0.0
2012-01-22,-0.08181818181818185,0.4272727272727273,-0.08181818181818185
2012-01-29,0.0,0.0,0.0
2012-02-05,0.0,0.0,0.0
2012-02-12,0.22000000000000006,0.26,0.5
2012-02-19,-0.11388888888888887,0.2611111111111111,-0.0625
2012-02-26,0.0,0.008888888888888889,0.0
2012-03-04,0.15,0.15,0.5
2012-03-11,0.0,0.0,0.0
2012-03-18,-0.125,0.25,-0.5
2012-03-25,0.0,0.0,0.0
2012-04-01,-0.008333333333333333,0.008333333333333333,0.0
2012-04-08,0.09642857142857143,0.14880952380952378,0.6
2012-04-15,0.06666666666666668,0.06666666666666668,0.5
2012-04-22,0.0,0.0,0.0
2012-04-29,0.2357142857142857,0.3535714285714286,0.6
2012-05-06,0.08333333333333333,0.08333333333333333,0.5
2012-05-13,0.009259259259259259,0.02160493827160494,0.08333333333333333
2012-05-20,0.19621212121212125,0.2318181818181818,0.4166666666666667
2012-05-27,0.026041666666666668,0.07916666666666666,0.25
2012-06-03,0.0,0.0,0.0
2012-06-10,0.07470085470085469,0.2441025641025641,0.5
2012-06-17,0.0652892561983471,0.23884297520661155,0.6
2012-06-24,-0.004511019283746556,0.1384986225895317,0.13636363636363635
2012-07-01,-0.013802083333333331,0.13645833333333335,0.0
2012-07-08,0.0,0.0,0.0
2012-07-15,0.0967432950191571,0.1704632532218739,0.4681818181818182
2012-07-22,0.0,0.0,0.0
2012-07-29,0.0,0.0,0.0
2012-08-05,0.1,0.05,0.2
2012-08-12,-0.05000000000000001,0.06666666666666668,-0.15000000000000002
2012-08-19,0.13731060606060605,0.18756313131313126,0.4375
2012-08-26,0.09375,0.22083333333333333,0.25
2012-09-02,0.03977272727272727,0.17945075757575754,0.13636363636363635
2012-09-09,0,0,0
2012-09-16,0.0,0.0,0.0
2012-09-23,0.075,0.1,0.25
2012-09-30,0.029494949494949487,0.3675757575757576,0.5
2012-10-07,0.07916666666666666,0.2791666666666667,0.475
2012-10-14,-0.018445322793148883,0.1527667984189723,0.0
2012-10-21,0.09868686868686867,0.1519191919191919,0.6
2012-10-28,0.041193181818181816,0.11647727272727272,0.25
2012-11-04,0.12626262626262624,0.2171717171717172,0.3333333333333333
2012-11-11,0.06592851592851592,0.3529526029526029,0.5
2012-11-18,0.26666666666666666,0.3333333333333333,0.8
2012-11-25,0.022727272727272728,0.0303030303030303,0.25
2012-12-02,0.1,0.16666666666666666,0.3
2012-12-09,0.2333333333333333,0.3583333333333333,0.5
2012-12-16,0.0,0.0,0.0
2012-12-23,0.15,0.225,0.6
2012-12-30,0.0,0.0,0.0
2013-01-06,0.0986111111111111,0.3611111111111111,0.6
2013-01-13,0.0,0.0,0.0
2013-01-20,0.0,0.08333333333333333,0.0
2013-01-27,0.0606060606060606,0.202020202020202,0.13636363636363635
2013-02-03,-0.013865932047750228,0.212534435261708,0.0
2013-02-10,0.0,0.0,0.0
2013-02-17,0.02,0.25,1.0
2013-02-24,0.18333333333333332,0.2125,0.5
2013-03-03,0.05729166666666665,0.153125,0.5
2013-03-10,0.0,0.0,0.0
2013-03-17,-0.032777777777777774,0.07166666666666667,0.08
2013-03-24,-0.1,0.06666666666666668,0.0
2013-03-31,0.0,0.5,0.0
2013-04-07,-0.026388888888888892,0.06933760683760684,-0.1875
2013-04-14,0.0,0.0659090909090909,0.0
2013-04-21,0.01730769230769231,0.03525641025641025,0.125
2013-04-28,0.8,0.4,0.8
2013-05-05,0.2571428571428571,0.3857142857142857,0.6
2013-05-12,0.1393939393939394,0.4257575757575757,0.4
2013-05-19,-0.016477272727272733,0.053409090909090906,0.0
2013-05-26,0.0,0.0,0.0
2013-06-02,0.08499999999999999,0.125,0.15
2013-06-09,0.14296814296814295,0.1614607614607615,0.5
2013-06-16,-0.1375,0.16875,0.0
2013-06-23,-0.02196969696969697,0.11287878787878787,0.0
2013-06-30,0.07272727272727272,0.09242424242424242,0.21818181818181814
2013-07-07,-0.0014103084415584431,0.2480519480519481,0.13636363636363635
2013-07-14,-0.028294853294853293,0.11873496873496875,0.0
2013-07-21,0.0,0.0,0.0
2013-07-28,0.0,0.0,0.0
2013-08-04,-0.05185185185185186,0.09629629629629632,0.0
2013-08-11,0.1111111111111111,0.17222222222222222,0.3
2013-08-18,0.06666666666666668,0.016666666666666666,1.0
2013-08-25,-0.002272727272727273,0.06266233766233767,0.1
2013-09-01,0.07241161616161616,0.14035188844971455,0.5
2013-09-08,0.0,0.0,0.0
2013-09-15,0.06296296296296297,0.2453703703703704,0.5
2013-09-22,0.14204545454545453,0.19015151515151515,0.5
2013-09-29,0.04444444444444445,0.07777777777777778,0.4
2013-10-06,0.0,0.0,0.0
2013-10-13,0.0,0.0,0.0
2013-10-20,0.02974431818181818,0.17821022727272728,0.3
2013-10-27,-0.013333333333333329,0.06499999999999999,0.1
2013-11-03,-0.0425925925925926,0.19351851851851853,0.25
2013-11-10,0.07446828533785056,0.14715791454921887,0.35
2013-11-17,0.06292929292929292,0.19231060606060604,0.65
2013-11-24,0.0,0.0,0.0
2013-12-01,-0.09185185185185184,0.1462962962962963,0.0
2013-12-08,0.007894736842105265,0.05,0.0
2013-12-15,0.05795454545454546,0.1771103896103896,0.5
2013-12-22,0.0,0.375,0.0
2013-12-29,-0.07777777777777779,0.14444444444444446,0.0
2014-01-05,0.0015448603683897773,0.12314319667260845,0.04999999999999999
